SIRET,Délai d'attribution moyen,,,,,
200072635,9.6,,,,,
200072643,10.3,,,,,
200072650,12.4,,,,,
200072668,6.0,,,,,
200072676,8.3,,,,,
200072684,13.3,,,,,
200072692,7.9,,,,,
200072700,13.1,,,,,
200072718,5.6,,,,,
200072726,11.5,,,,,
200072734,25.1,,,,,
200072825,5.8,,,,,
200072874,31.8,,,,,
200072882,14.1,,,,,
200072981,8.9,,,,,
200072999,4.4,,,,,
200073013,35.6,,,,,
200073096,10.7,,,,,
200073104,18.4,,,,,
200073112,6.8,,,,,
200073120,29.5,,,,,
200073138,7.7,,,,,
200073146,11.4,,,,,
200073161,11.7,,,,,
200073237,10.1,,,,,
200073245,9.6,,,,,
200073252,17.5,,,,,
200073260,18.0,,,,,
200073344,19.7,,,,,
200073393,4.9,,,,,
200073401,4.9,,,,,
200073419,6.7,,,,,
200073427,5.8,,,,,
200077014,13.2,,,,,
200083392,12.7,,,,,
200084952,12.6,,,,,
200085728,6.0,,,,,
200085751,9.7,,,,,
200089456,11.0,,,,,
200090504,26.2,,,,,
200090561,7.2,,,,,
200090579,6.3,,,,,
200090751,9.8,,,,,
200093201,22.0,,,,,
200096634,5.9,,,,,
200096642,6.3,,,,,
200096675,10.6,,,,,
200096683,16.3,,,,,
200096956,11.4,,,,,
75056,46.3,,,,,
240100610,11.4,,,,,
240100750,13.1,,,,,
240100800,15.9,,,,,
240100883,8.3,,,,,
240100891,10.5,,,,,
240200444,4.4,,,,,
240200469,5.9,,,,,
240200477,8.5,,,,,
240200493,6.8,,,,,
240200501,6.9,,,,,
240200519,3.7,,,,,
240200576,7.6,,,,,
240200584,11.4,,,,,
240200592,11.6,,,,,
240200600,4.2,,,,,
240200634,4.3,,,,,
240300491,6.5,,,,,
240300558,4.5,,,,,
240300566,6.3,,,,,
240300657,8.7,,,,,
240400440,9.7,,,,,
240500439,12.8,,,,,
240500462,8.2,,,,,
240600551,35.5,,,,,
240600585,34.5,,,,,
240600593,16.1,,,,,
240700302,9.5,,,,,
240700617,8.3,,,,,
240700716,5.0,,,,,
240700815,11.4,,,,,
240700864,5.9,,,,,
240800821,6.4,,,,,
240800847,5.5,,,,,
240800862,4.8,,,,,
240800920,3.9,,,,,
240900431,12.1,,,,,
240900464,6.9,,,,,
241000223,3.7,,,,,
241000405,3.6,,,,,
241000447,4.5,,,,,
241000488,4.9,,,,,
241100593,18.2,,,,,
241200187,8.1,,,,,
241200542,4.4,,,,,
241200567,7.5,,,,,
241200625,7.5,,,,,
241200641,10.2,,,,,
241200658,8.7,,,,,
241200674,6.1,,,,,
241200765,2.1,,,,,
241200807,6.3,,,,,
241200906,2.9,,,,,
241200914,1.9,,,,,
241300375,27.2,,,,,
241300417,20.0,,,,,
241400415,18.6,,,,,
241400514,11.4,,,,,
241400555,13.7,,,,,
241400860,23.4,,,,,
241400878,14.9,,,,,
241500230,6.0,,,,,
241500255,3.5,,,,,
241500271,4.0,,,,,
241501055,4.8,,,,,
241501089,5.5,,,,,
241501139,4.8,,,,,
241600303,3.5,,,,,
241700434,23.9,,,,,
241700459,25.9,,,,,
241700517,5.6,,,,,
241700624,23.9,,,,,
241700640,18.3,,,,,
241700699,18.4,,,,,
241800374,7.4,,,,,
241800424,6.2,,,,,
241800432,4.8,,,,,
241800457,7.7,,,,,
241800507,8.6,,,,,
241900133,4.9,,,,,
241927201,6.2,,,,,
241927243,5.0,,,,,
242000354,18.0,,,,,
242000495,29.7,,,,,
242010056,19.8,,,,,
242010130,8.9,,,,,
242020071,17.0,,,,,
242020105,14.3,,,,,
242100154,5.0,,,,,
242100410,12.0,,,,,
242101434,5.6,,,,,
242101442,3.1,,,,,
242101459,5.0,,,,,
242101491,4.2,,,,,
242101509,4.5,,,,,
242200715,11.6,,,,,
242300135,6.4,,,,,
242320000,3.7,,,,,
242320109,5.9,,,,,
242400752,8.9,,,,,
242400935,6.8,,,,,
242401024,14.3,,,,,
242500320,0.7,,,,,
242500338,15.1,,,,,
242500361,9.2,,,,,
242504116,6.9,,,,,
242504181,8.5,,,,,
242504355,4.7,,,,,
242504371,5.2,,,,,
242504447,4.9,,,,,
242504488,7.9,,,,,
242504496,3.3,,,,,
242600252,14.3,,,,,
242600492,14.7,,,,,
242600534,13.9,,,,,
242700276,8.4,,,,,
242700607,7.8,,,,,
242852465,8.8,,,,,
242900074,15.1,,,,,
242900314,15.4,,,,,
242900553,16.2,,,,,
242900561,7.6,,,,,
242900629,12.4,,,,,
242900645,13.4,,,,,
242900660,15.5,,,,,
242900694,15.4,,,,,
242900702,17.5,,,,,
242900710,18.9,,,,,
242900744,14.2,,,,,
242900751,14.7,,,,,
242900769,17.5,,,,,
242900793,11.8,,,,,
242900801,15.1,,,,,
242900835,10.2,,,,,
243000270,8.7,,,,,
243000296,11.1,,,,,
243000569,19.4,,,,,
243000585,16.1,,,,,
243000593,15.4,,,,,
243000643,17.6,,,,,
243000650,18.3,,,,,
243000684,11.6,,,,,
243100518,15.8,,,,,
243100567,12.7,,,,,
243100633,9.0,,,,,
243100732,14.9,,,,,
243100773,15.5,,,,,
243100781,17.6,,,,,
243100815,12.1,,,,,
243200391,8.8,,,,,
243200409,12.1,,,,,
243200417,9.8,,,,,
243200425,4.3,,,,,
243200458,10.3,,,,,
243200508,7.3,,,,,
243200599,16.1,,,,,
243200607,6.8,,,,,
243300316,19.9,,,,,
243300563,18.7,,,,,
243300811,12.7,,,,,
243301165,19.7,,,,,
243301181,15.5,,,,,
243301215,22.6,,,,,
243301223,23.5,,,,,
243301249,22.3,,,,,
243301264,21.7,,,,,
243301355,18.8,,,,,
243301371,9.9,,,,,
243301389,25.3,,,,,
243301397,28.6,,,,,
243301405,19.7,,,,,
243301439,17.9,,,,,
243301447,27.6,,,,,
243301454,18.9,,,,,
243301504,19.2,,,,,
243400017,22.2,,,,,
243400355,21.8,,,,,
243400470,15.6,,,,,
243400488,12.0,,,,,
243400520,25.5,,,,,
243400694,27.4,,,,,
243400736,10.3,,,,,
243400769,13.9,,,,,
243400819,17.8,,,,,
243500139,24.9,,,,,
243500550,15.3,,,,,
243500618,15.9,,,,,
243500634,19.4,,,,,
243500659,17.0,,,,,
243500667,16.4,,,,,
243500725,17.3,,,,,
243500733,15.3,,,,,
243500741,16.0,,,,,
243500774,16.0,,,,,
243500782,19.0,,,,,
243600202,4.0,,,,,
243600236,3.3,,,,,
243600293,3.7,,,,,
243600301,4.5,,,,,
243600319,4.0,,,,,
243600327,6.1,,,,,
243600343,2.5,,,,,
243600350,3.1,,,,,
243700499,7.8,,,,,
243700754,14.4,,,,,
243700820,9.3,,,,,
243800604,11.4,,,,,
243800745,6.9,,,,,
243800935,11.6,,,,,
243800984,10.7,,,,,
243801024,8.2,,,,,
243801073,6.5,,,,,
243801255,10.7,,,,,
243900354,4.7,,,,,
243900420,4.5,,,,,
243900479,6.8,,,,,
243900560,4.3,,,,,
243900610,4.8,,,,,
243901089,18.3,,,,,
244000543,11.2,,,,,
244000659,20.6,,,,,
244000675,15.5,,,,,
244000691,12.5,,,,,
244000766,23.6,,,,,
244000774,9.2,,,,,
244000808,13.5,,,,,
244000824,15.5,,,,,
244000857,15.6,,,,,
244000865,19.9,,,,,
244000873,13.5,,,,,
244100293,5.7,,,,,
244100780,7.0,,,,,
244100798,9.1,,,,,
244100806,4.8,,,,,
244200614,3.3,,,,,
244200622,6.0,,,,,
244200630,7.8,,,,,
244200770,7.9,,,,,
244200820,2.7,,,,,
244200895,6.1,,,,,
244300307,5.6,,,,,
244301016,3.7,,,,,
244301099,5.3,,,,,
244301107,5.5,,,,,
244301123,7.4,,,,,
244301131,4.8,,,,,
244400404,29.8,,,,,
244400438,23.3,,,,,
244400453,29.5,,,,,
244400503,22.9,,,,,
244400537,15.8,,,,,
244400552,17.5,,,,,
244400586,22.4,,,,,
244400610,21.9,,,,,
244400644,19.9,,,,,
244500203,10.2,,,,,
244500211,9.9,,,,,
244500419,8.6,,,,,
244500427,9.1,,,,,
244500468,14.7,,,,,
244500484,10.5,,,,,
244500542,2.3,,,,,
244600433,7.1,,,,,
244600482,6.7,,,,,
244600532,8.3,,,,,
244600573,6.3,,,,,
244700464,6.5,,,,,
244701355,7.2,,,,,
244701405,17.3,,,,,
