,codgeo,taux_accueil_collectif,taux_accueil_individuel,taux_accueil_total,annee
3794,13014,16.0,10.5,29.4,2022
3795,13015,39.3,34.0,73.6,2022
3796,13028,26.3,31.3,59.3,2022
3797,13040,28.3,35.4,63.7,2022
3798,13063,15.0,12.7,30.2,2022
3799,13071,28.6,16.9,47.4,2022
3800,13103,25.2,22.2,47.7,2022
3801,13106,24.2,13.2,41.3,2022
3802,13203,15.4,4.3,22.8,2022
3803,13204,24.4,17.2,42.5,2022
3804,13207,40.9,29.1,71.6,2022
3805,13208,38.3,30.6,68.8,2022
3806,13214,13.2,5.0,21.6,2022
3807,13215,17.5,4.7,28.0,2022
3808,13216,36.7,6.4,48.3,2022
3809,14047,19.7,77.5,102.0,2022
3810,14327,33.3,35.2,77.0,2022
3811,14762,11.7,60.9,80.3,2022
3812,16102,28.8,31.0,70.1,2022
3813,17306,24.1,46.3,82.8,2022
3814,21617,32.6,22.1,56.3,2022
3815,22187,34.5,52.2,99.4,2022
3816,25056,30.9,26.1,60.7,2022
3817,25580,11.6,23.5,40.9,2022
3818,26281,21.5,32.3,58.2,2022
3819,27375,27.1,26.4,57.8,2022
3820,29039,20.7,50.1,82.5,2022
3821,29235,14.0,53.5,73.7,2022
3822,30202,26.1,31.4,62.9,2022
3823,30258,7.6,29.9,42.4,2022
3824,31044,41.5,29.5,71.0,2022
3825,31069,46.8,27.6,74.4,2022
3826,31116,12.4,47.9,60.0,2022
3827,31395,26.2,44.5,70.8,2022
3828,31424,16.9,42.7,60.5,2022
3829,33039,22.8,35.3,58.6,2022
3830,33051,22.8,48.9,71.5,2022
3831,33063,45.5,31.1,78.0,2022
3832,33069,36.7,34.5,71.2,2022
3833,33075,33.7,44.8,79.0,2022
3834,33119,10.9,29.2,44.7,2022
3835,33162,23.7,40.9,64.6,2022
3836,33249,19.3,23.1,44.8,2022
3837,33281,29.6,41.3,70.9,2022
3838,33519,23.7,55.6,79.0,2022
3839,33529,26.5,44.0,71.5,2022
3840,34057,30.2,25.6,57.0,2022
3841,34108,22.9,28.2,54.4,2022
3842,34123,22.4,27.2,49.7,2022
3843,34129,53.2,30.6,83.8,2022
3844,34157,32.2,28.5,60.7,2022
3845,35024,22.3,38.3,65.3,2022
3846,35047,30.4,52.0,89.6,2022
3847,35093,35.0,35.7,82.5,2022
3848,35210,21.1,46.8,70.1,2022
3849,35360,30.2,55.3,99.6,2022
3850,36044,23.2,34.8,62.1,2022
3851,36088,16.7,57.0,81.7,2022
3852,37156,14.7,79.5,93.8,2022
3853,37195,29.4,52.9,86.1,2022
3854,37261,36.4,31.8,70.7,2022
3855,38085,13.2,39.3,52.5,2022
3856,38151,20.0,20.0,44.2,2022
3857,38169,22.1,36.9,61.7,2022
3858,38185,39.3,26.7,68.9,2022
3859,38317,39.2,26.2,74.5,2022
3860,38382,42.7,47.4,90.1,2022
3861,38544,19.2,42.6,63.3,2022
3862,39198,30.6,33.7,71.7,2022
3863,39300,34.1,21.3,60.0,2022
3864,40046,26.0,51.1,76.8,2022
3865,40192,26.3,51.8,81.1,2022
3866,41018,22.1,24.9,52.2,2022
3867,41194,17.7,41.2,64.5,2022
3868,42147,29.6,48.2,77.8,2022
3869,42218,20.8,17.4,40.8,2022
3870,44020,29.6,57.0,89.6,2022
3871,44109,34.5,32.4,70.5,2022
3872,44114,31.3,36.9,70.1,2022
3873,44131,20.1,74.6,98.2,2022
3874,44132,38.1,65.7,104.4,2022
3875,44143,21.3,52.4,74.7,2022
3876,44172,25.4,55.6,80.9,2022
3877,45004,19.5,42.2,62.0,2022
3878,45155,22.1,30.8,57.4,2022
3879,45232,39.6,28.2,69.9,2022
3880,47323,30.2,38.0,78.4,2022
3881,48095,35.8,33.5,83.1,2022
3882,49007,28.9,28.4,61.5,2022
3883,49050,16.7,46.8,64.1,2022
3884,49353,23.0,54.3,86.8,2022
3885,50218,1.3,31.1,43.8,2022
3886,51108,34.9,21.3,59.0,2022
3887,52121,25.2,54.9,92.1,2022
3888,52448,22.3,31.8,64.9,2022
3889,54304,47.0,14.1,65.9,2022
3890,54395,46.5,20.2,71.5,2022
3891,54528,23.9,39.3,67.0,2022
3892,54578,17.7,40.4,62.4,2022
3893,54580,9.0,5.5,14.5,2022
3894,55545,23.7,34.7,64.2,2022
3895,56007,14.1,52.4,89.0,2022
3896,56078,12.9,43.5,70.3,2022
3897,57019,28.9,53.1,87.5,2022
3898,57306,11.7,16.5,28.2,2022
3899,57463,38.3,23.4,63.7,2022
3900,57606,13.5,34.3,48.9,2022
3901,57631,44.8,12.8,62.5,2022
3902,57751,6.2,22.2,36.3,2022
3903,57757,31.7,32.9,66.1,2022
3904,59008,6.0,13.6,25.1,2022
3905,59152,14.2,32.8,54.5,2022
3906,59155,12.5,42.6,66.3,2022
3907,59172,6.3,12.2,29.2,2022
3908,59179,6.1,34.4,59.5,2022
3909,59183,19.3,27.2,58.3,2022
3910,59249,7.9,21.6,38.0,2022
3911,59273,22.8,41.2,83.1,2022
3912,59328,34.8,32.1,70.9,2022
3913,59367,16.4,33.7,59.7,2022
3914,59386,36.9,47.9,88.9,2022
3915,59410,21.7,33.5,65.8,2022
3916,59508,38.4,34.3,82.7,2022
3917,59527,39.4,43.2,89.3,2022
3918,59574,14.2,40.1,70.9,2022
3919,59599,17.3,18.0,43.3,2022
3920,59606,24.2,20.0,55.3,2022
3921,59646,40.0,36.6,84.4,2022
3922,59648,22.9,25.9,51.4,2022
3923,60141,42.0,45.2,89.8,2022
3924,60159,34.4,20.6,58.8,2022
3925,60175,12.7,7.1,23.3,2022
3926,60414,16.6,18.7,38.7,2022
3927,60463,11.0,16.4,32.2,2022
3928,60509,36.7,27.4,67.7,2022
3929,61006,28.8,46.7,85.3,2022
3930,62041,29.7,19.7,58.6,2022
3931,62065,8.9,23.4,41.8,2022
3932,62186,12.8,27.2,48.5,2022
3933,62318,14.8,35.6,71.0,2022
3934,62510,21.6,18.7,48.0,2022
3935,62587,12.2,21.5,43.4,2022
3936,62617,19.8,25.6,55.6,2022
3937,62643,19.4,30.9,71.0,2022
3938,62765,5.2,17.6,31.3,2022
3939,63113,23.0,26.8,52.1,2022
3940,63178,20.5,61.3,83.4,2022
3941,63284,14.4,62.5,78.1,2022
3942,63300,20.1,40.0,65.9,2022
3943,63430,6.0,37.3,56.0,2022
3944,64024,31.3,50.4,84.9,2022
3945,64102,27.2,32.8,64.2,2022
3946,64129,28.3,43.3,71.7,2022
3947,64430,23.1,33.8,59.7,2022
3948,66028,36.3,30.1,69.1,2022
3949,66037,43.2,30.0,74.2,2022
3950,66136,21.6,10.7,38.6,2022
3951,66172,16.7,40.4,62.1,2022
3952,67130,34.9,42.7,77.6,2022
3953,67218,57.6,27.9,85.5,2022
3954,67267,32.7,25.0,57.7,2022
3955,67447,35.3,18.0,56.9,2022
3956,67462,38.0,22.1,60.1,2022
3957,68297,21.7,14.4,40.4,2022
3958,69019,10.6,27.8,44.2,2022
3959,69277,45.3,43.5,89.1,2022
3960,69034,30.7,31.3,65.1,2022
3961,69069,42.8,41.2,84.3,2022
3962,69091,14.7,14.8,38.5,2022
3963,69152,36.3,21.9,66.0,2022
3964,69199,17.1,10.0,34.9,2022
3965,69202,36.7,35.3,72.0,2022
3966,69204,36.2,37.4,76.1,2022
3967,69259,15.3,12.2,42.6,2022
3968,69286,22.2,20.8,47.1,2022
3969,69381,41.5,31.2,73.2,2022
3970,69386,48.0,34.7,84.4,2022
3971,69387,36.9,33.0,71.1,2022
3972,69388,32.7,22.5,60.7,2022
3973,70550,26.3,42.1,75.7,2022
3974,71153,18.5,31.4,62.3,2022
3975,71306,16.0,33.5,64.2,2022
3976,72181,14.9,42.1,61.7,2022
3977,73008,26.8,36.6,64.6,2022
3978,74224,12.0,29.2,41.1,2022
3979,75102,60.2,27.3,88.1,2022
3980,75105,75.9,14.0,93.0,2022
3981,75108,62.5,33.1,104.9,2022
3982,75109,54.6,24.0,79.1,2022
3983,75115,55.2,18.8,75.1,2022
3984,76217,25.3,25.6,63.1,2022
3985,76447,16.0,60.7,76.7,2022
3986,76451,67.5,33.1,101.0,2022
3987,76484,3.1,41.9,50.9,2022
3988,77014,16.1,29.6,45.7,2022
3989,77153,15.4,34.9,50.2,2022
3990,77258,33.2,18.9,51.9,2022
3991,77285,19.8,20.0,46.6,2022
3992,77464,17.0,26.2,43.4,2022
3993,77487,25.3,45.7,71.1,2022
3994,78005,27.6,25.1,54.4,2022
3995,78124,39.0,22.2,62.7,2022
3996,78126,41.4,20.9,63.0,2022
3997,78172,29.1,28.6,57.7,2022
3998,78190,48.4,28.3,76.7,2022
3999,78372,56.4,29.7,86.3,2022
4000,78383,33.5,33.2,69.8,2022
4001,78440,16.9,9.0,30.0,2022
4002,78490,26.2,27.9,57.4,2022
4003,78517,33.8,34.0,67.8,2022
4004,78624,20.4,37.8,58.1,2022
4005,78640,59.2,29.5,88.7,2022
4006,78646,45.3,28.9,76.5,2022
4007,79329,26.4,36.5,67.2,2022
4008,81099,16.2,34.3,53.1,2022
4009,83071,37.4,24.7,62.1,2022
4010,83098,30.5,32.3,62.5,2022
4011,83112,29.3,57.8,87.1,2022
4012,83126,27.4,20.5,51.4,2022
4013,83148,5.7,26.9,32.6,2022
4014,84019,18.9,22.6,48.6,2022
4015,84031,20.5,15.8,36.3,2022
4016,84087,17.0,26.5,44.0,2022
4017,84129,22.6,19.8,43.2,2022
4018,85092,12.4,58.5,85.5,2022
4019,85146,23.4,65.6,92.5,2022
4020,86066,15.3,24.0,49.1,2022
4021,86194,27.2,21.2,51.2,2022
4022,87114,21.8,54.0,76.2,2022
4023,91021,21.6,24.3,45.9,2022
4024,91103,22.6,29.8,52.4,2022
4025,91228,18.4,21.5,43.4,2022
4026,91235,21.6,21.5,43.1,2022
4027,91549,16.7,29.5,48.4,2022
4028,91552,12.9,30.2,43.3,2022
4029,91570,15.9,27.7,43.7,2022
4030,91573,17.3,40.4,57.5,2022
4031,91645,51.6,28.4,80.3,2022
4032,91657,16.8,19.1,36.5,2022
4033,91691,45.6,34.0,81.5,2022
4034,91692,23.2,21.9,46.2,2022
4035,92014,47.0,21.2,68.2,2022
4036,92020,45.0,25.4,70.4,2022
4037,92024,43.0,26.2,70.5,2022
4038,92026,61.6,27.5,89.6,2022
4039,92032,27.2,17.1,44.2,2022
4040,92051,48.7,39.4,90.3,2022
4041,92060,48.3,25.0,74.1,2022
4042,92062,59.3,25.6,85.9,2022
4043,92063,54.2,24.2,79.7,2022
4044,92064,49.9,27.5,77.7,2022
4045,92072,42.8,27.2,70.1,2022
4046,92075,43.5,26.1,69.6,2022
4047,93001,14.7,6.7,23.0,2022
4048,93027,14.2,4.9,21.3,2022
