DEPCOM_ARM,LIBCOM_DEP,LIBCOM,nb_loues,nb_vacants,nb_vides,nb_asso,nb_occup_finan,nb_occup_temp,nb_ls
74006,Allonzier-la-Caille (74),Allonzier-la-Caille,189,4,0,0,0,0,193
74007,Amancy (74),Amancy,40,0,0,0,0,0,40
74008,Ambilly (74),Ambilly,556,12,1,4,4,0,577
74009,Andilly (74),Andilly,11,0,0,0,0,0,11
74010,Annecy (74),Annecy,12001,87,47,268,771,0,13174
74012,Annemasse (74),Annemasse,4160,66,193,32,58,0,4509
74013,Anthy-sur-Léman (74),Anthy-sur-Léman,61,1,1,1,0,0,64
74014,Arâches-la-Frasse (74),Arâches-la-Frasse,27,1,0,0,0,0,28
74015,Arbusigny (74),Arbusigny,15,0,0,0,0,0,15
74016,Archamps (74),Archamps,10,0,0,118,1,0,129
74018,Arenthon (74),Arenthon,46,0,0,0,0,0,46
74019,Argonay (74),Argonay,243,1,0,5,0,0,249
74021,Arthaz-Pont-Notre-Dame (74),Arthaz-Pont-Notre-Dame,18,0,0,0,0,0,18
74024,Ayse (74),Ayse,52,2,0,0,0,0,54
74025,Ballaison (74),Ballaison,23,0,0,0,0,0,23
74026,La Balme-de-Sillingy (74),La Balme-de-Sillingy,390,4,4,2,4,0,404
74030,La Baume (74),La Baume,16,0,0,0,0,0,16
74031,Beaumont (74),Beaumont,167,4,1,0,0,0,172
74032,Bellevaux (74),Bellevaux,23,2,1,0,0,0,26
74033,Bernex (74),Bernex,14,0,0,0,0,0,14
74034,Le Biot (74),Le Biot,17,0,1,0,0,0,18
74036,Bluffy (74),Bluffy,,,,,,,10
74037,Boëge (74),Boëge,62,0,2,0,0,0,64
74038,Bogève (74),Bogève,20,0,0,0,0,0,20
74040,Bonne (74),Bonne,111,0,0,0,2,0,113
74042,Bonneville (74),Bonneville,1074,16,173,18,38,0,1319
74043,Bons-en-Chablais (74),Bons-en-Chablais,292,4,1,2,17,0,316
74044,Bossey (74),Bossey,24,0,0,0,0,0,24
74045,Le Bouchet-Mont-Charvin (74),Le Bouchet-Mont-Charvin,,,,,,,7
74046,Boussy (74),Boussy,,,,,,,10
74051,Cercier (74),Cercier,11,0,0,0,0,0,11
74052,Cernex (74),Cernex,12,0,0,0,0,0,12
74053,Cervens (74),Cervens,38,1,0,0,0,0,39
74054,Chainaz-les-Frasses (74),Chainaz-les-Frasses,8,4,0,0,0,0,12
74055,Challonges (74),Challonges,,,,,,,5
74056,Chamonix-Mont-Blanc (74),Chamonix-Mont-Blanc,718,2,8,0,4,0,732
74057,Champanges (74),Champanges,,,,,,,10
74058,La Chapelle-d'Abondance (74),La Chapelle-d'Abondance,14,0,0,0,2,0,16
74060,La Chapelle-Saint-Maurice (74),La Chapelle-Saint-Maurice,12,0,0,0,0,0,12
74061,Chapeiry (74),Chapeiry,,,,,,,8
74062,Charvonnex (74),Charvonnex,20,0,0,0,0,0,20
74063,Châtel (74),Châtel,12,0,0,0,0,0,12
74067,Chavanod (74),Chavanod,106,1,0,0,0,0,107
74068,Chêne-en-Semine (74),Chêne-en-Semine,47,1,0,0,0,0,48
74069,Chênex (74),Chênex,,,,,,,5
74070,Chens-sur-Léman (74),Chens-sur-Léman,140,0,1,0,2,0,143
74073,Chevenoz (74),Chevenoz,12,0,0,0,0,0,12
74074,Chevrier (74),Chevrier,26,0,0,0,2,0,28
74076,Choisy (74),Choisy,16,0,0,0,1,0,17
74077,Clarafond-Arcine (74),Clarafond-Arcine,30,0,0,0,0,0,30
74078,Clermont (74),Clermont,12,0,0,0,0,0,12
74079,Les Clefs (74),Les Clefs,11,0,1,0,0,0,12
74080,La Clusaz (74),La Clusaz,44,0,0,0,0,0,44
74081,Cluses (74),Cluses,1617,85,46,0,17,0,1765
74082,Collonges-sous-Salève (74),Collonges-sous-Salève,182,0,1,0,1,0,184
74083,Combloux (74),Combloux,26,0,0,2,0,0,28
74085,Les Contamines-Montjoie (74),Les Contamines-Montjoie,30,9,1,0,1,0,41
74087,Contamine-sur-Arve (74),Contamine-sur-Arve,84,3,0,0,0,0,87
74088,Copponex (74),Copponex,,,,,,,8
74090,Cornier (74),Cornier,46,0,0,0,0,0,46
74091,La Côte-d'Arbroz (74),La Côte-d'Arbroz,12,1,0,0,0,0,13
74094,Cranves-Sales (74),Cranves-Sales,406,8,0,0,3,0,417
74096,Cruseilles (74),Cruseilles,326,4,1,0,5,0,336
74097,Cusy (74),Cusy,22,0,0,0,0,0,22
74098,Cuvat (74),Cuvat,16,0,0,0,0,0,16
74099,Demi-Quartier (74),Demi-Quartier,,,,,,,6
74101,Dingy-en-Vuache (74),Dingy-en-Vuache,7,0,0,5,0,0,12
